,nrp,r,lr,ate,auuc,qini
1,170,0.4,0.0002,-0.005287845,0.5373623340431045,0.06558176558485501
2,170,0.4,0.0004,0.005634201,0.5767660551430351,0.10263874023496387
3,170,0.4,0.0006000000000000001,0.005681511,0.6254729524998098,0.15077186788025979
4,170,0.4,0.0008,0.0056793354,0.37036035398680484,-0.10211724156461367
5,170,0.4,0.001,0.005672374,0.3720311830893965,-0.10053290644133495
6,170,0.5,0.0002,-0.0024067464,0.5717303066757107,0.09903196017163046
7,170,0.5,0.0004,0.005684025,0.6138997166057462,0.13925775198080978
8,170,0.5,0.0006000000000000001,0.0057109664,0.30869392282070157,-0.16406925488435078
9,170,0.5,0.0008,0.0056629754,0.5994754353316272,0.12503255232059687
10,170,0.5,0.001,0.0057185874,0.3645803382988294,-0.10803559573636301
11,170,0.6000000000000001,0.0002,0.0057205544,0.5481051821627111,0.07440239189771597
12,170,0.6000000000000001,0.0004,0.0056277215,0.662578600946597,0.1882165026303986
13,170,0.6000000000000001,0.0006000000000000001,0.005677905,0.6477519019799834,0.17291614941956673
14,170,0.6000000000000001,0.0008,0.0056649293,0.5191875069431557,0.04456704256732604
15,170,0.6000000000000001,0.001,0.0056689274,0.36992950603158814,-0.10250707213336839
16,170,0.7000000000000001,0.0002,0.0056506786,0.5195138894331959,0.046787376235321795
17,170,0.7000000000000001,0.0004,0.0056518614,0.6290865105839297,0.15458775811860886
18,170,0.7000000000000001,0.0006000000000000001,0.005689618,0.4926949611144441,0.01832815835262569
19,170,0.7000000000000001,0.0008,0.005715305,0.32548693861047356,-0.146880603471087
20,170,0.7000000000000001,0.001,0.005670816,0.5066100482938346,0.032114458150465444
21,170,0.8,0.0002,0.005655715,0.5820276056576256,0.10763102488706865
22,170,0.8,0.0004,0.00564917,0.6280292803361341,0.1534245105301583
23,170,0.8,0.0006000000000000001,0.0056627793,0.34704582265765666,-0.12540587125939623
24,170,0.8,0.0008,0.005654006,0.43711522190921315,-0.0368597669213993
25,170,0.8,0.001,0.005673968,0.3445486082507473,-0.12785065615624022
26,180,0.4,0.0002,-0.0028612989,0.5318711009330906,0.05968251775936939
27,180,0.4,0.0004,0.0056707,0.6438022187962892,0.16919170754105545
28,180,0.4,0.0006000000000000001,0.0056652403,0.6840288638351745,0.208832877507591
29,180,0.4,0.0008,0.0056726015,0.37403474414263405,-0.0985515675726665
30,180,0.4,0.001,0.005670746,0.6043010332064532,0.1293035887093184
31,180,0.5,0.0002,0.0056367456,0.5735424320095246,0.09956145691463142
32,180,0.5,0.0004,0.0056449403,0.5913025336183712,0.11684386071778992
33,180,0.5,0.0006000000000000001,0.005676248,0.3138210885742042,-0.15878064128979347
34,180,0.5,0.0008,0.0056735645,0.5987280884095448,0.1257511358052146
35,180,0.5,0.001,0.0056672557,0.4751854444802134,0.0010265044545860191
36,180,0.6000000000000001,0.0002,0.0056961263,0.5525053644224375,0.07946445474485182
37,180,0.6000000000000001,0.0004,0.005609367,0.6118158815805997,0.13733115359670625
38,180,0.6000000000000001,0.0006000000000000001,0.005669272,0.3659904601218762,-0.10646023694299134
39,180,0.6000000000000001,0.0008,0.005690771,0.36016501546704277,-0.11231648211634232
40,180,0.6000000000000001,0.001,0.0056626736,0.30334757491920894,-0.16919421095095338
41,180,0.7000000000000001,0.0002,-0.0011695484,0.6434141280574996,0.17232666193835974
42,180,0.7000000000000001,0.0004,0.005684412,0.633844888280589,0.15959816008682515
43,180,0.7000000000000001,0.0006000000000000001,0.005684539,0.3332002663596507,-0.1406313455562993
44,180,0.7000000000000001,0.0008,0.0056735254,0.3822115717700383,-0.09071452667445401
45,180,0.7000000000000001,0.001,0.0057250354,0.3653405670208091,-0.10731724311087708
46,180,0.8,0.0002,0.0056768563,0.581908996313185,0.10756896130058523
47,180,0.8,0.0004,0.0056629316,0.6194776902140624,0.14525677474650572
48,180,0.8,0.0006000000000000001,0.005673047,0.6281712748241187,0.1536098624329717
49,180,0.8,0.0008,0.0056641228,0.336535871459816,-0.13610114520057445
50,180,0.8,0.001,0.0056345784,0.6292173294349003,0.15429258113040678
51,190,0.4,0.0002,0.0057367194,0.5835940160197953,0.10885501369067714
52,190,0.4,0.0004,0.005626346,0.5825897159056543,0.10807128179124596
53,190,0.4,0.0006000000000000001,0.005670384,0.33544468384303977,-0.1368905993681629
54,190,0.4,0.0008,0.005658948,0.6204010323091105,0.1460047885386246
55,190,0.4,0.001,0.005671003,0.595005153749177,0.12095155913642514
56,190,0.5,0.0002,-0.0034749133,0.49734328186637433,0.025354038721050083
57,190,0.5,0.0004,0.0056258063,0.5968874254834019,0.1229353421160563
58,190,0.5,0.0006000000000000001,0.005668941,0.6480669202043591,0.17353458219698575
59,190,0.5,0.0008,0.0056812936,0.3670541052989572,-0.10552556342590447
60,190,0.5,0.001,0.005646646,0.6503789745998094,0.17547605232874733
61,190,0.6000000000000001,0.0002,,0.4384709500907741,-0.033416942642628324
62,190,0.6000000000000001,0.0004,0.0056097996,0.5843500527990354,0.11014621095942215
63,190,0.6000000000000001,0.0006000000000000001,0.005670273,0.634376172128277,0.15962312361308914
64,190,0.6000000000000001,0.0008,0.0056771208,0.37347634135081387,-0.09896027726795281
65,190,0.6000000000000001,0.001,0.005659133,0.6400302439024232,0.16509850651154304
66,190,0.7000000000000001,0.0002,-0.0030111992,0.5942401280516565,0.12356826008938943
67,190,0.7000000000000001,0.0004,0.0056184847,0.5626871001321511,0.08827716542449009
68,190,0.7000000000000001,0.0006000000000000001,0.0056806696,0.6886605835028977,0.214339055108623
69,190,0.7000000000000001,0.0008,0.005673659,0.36513310446798086,-0.10746304079495145
70,190,0.7000000000000001,0.001,0.005684644,0.5308753057426729,0.057449211145846744
71,190,0.8,0.0002,0.0056657554,0.4980277834245536,0.023946912572070125
72,190,0.8,0.0004,0.0056234505,0.6278977807659911,0.15394424288187525
73,190,0.8,0.0006000000000000001,0.005677755,0.6401475894430196,0.16548682964658587
74,190,0.8,0.0008,0.0056561665,0.44325738148681737,-0.029018386249473692
75,190,0.8,0.001,0.0057269214,0.4582062247173365,-0.014830447442293894
76,200,0.4,0.0002,0.005671909,0.5678957288888391,0.09405987801894646
77,200,0.4,0.0004,0.0056425296,0.6521457665010124,0.17674953931104337
78,200,0.4,0.0006000000000000001,0.0056415405,0.3898985874492221,-0.0825046739686341
79,200,0.4,0.0008,0.005677496,0.361615784334733,-0.11097883517117887
80,200,0.4,0.001,0.0056225993,0.6241786193416249,0.14957711915478258
81,200,0.5,0.0002,0.005594794,0.6144096483767381,0.14007550022127463
82,200,0.5,0.0004,0.0056769443,0.6632380891311453,0.18775474715065782
83,200,0.5,0.0006000000000000001,0.005662377,0.6387353630229163,0.16351410062121016
84,200,0.5,0.0008,0.0056814067,0.27975351956894695,-0.19308975338903336
85,200,0.5,0.001,0.0055722385,0.6342839123021469,0.15940934168552165
86,200,0.6000000000000001,0.0002,0.005658865,0.6031242449820903,0.12919361487939288
87,200,0.6000000000000001,0.0004,0.005643265,0.6176096010928628,0.1430129832371463
88,200,0.6000000000000001,0.0006000000000000001,0.005553459,0.3025925637269361,-0.16984140441011275
89,200,0.6000000000000001,0.0008,0.005666619,0.6051702516953363,0.1308219058199606
90,200,0.6000000000000001,0.001,0.00564097,0.6212166585612076,0.14683599694627522
91,200,0.7000000000000001,0.0002,-0.0031480223,0.56563921163804,0.0946672408539357
92,200,0.7000000000000001,0.0004,0.005658197,0.6328468558528473,0.15879579326962615
93,200,0.7000000000000001,0.0006000000000000001,0.005666318,0.45618566024512613,-0.01836827583669435
94,200,0.7000000000000001,0.0008,0.0056688227,0.3769079955773352,-0.09552791499989911
95,200,0.7000000000000001,0.001,0.005616523,0.6248382324097647,0.15050353688772472
96,200,0.8,0.0002,-0.0028477244,0.5472158579922625,0.07564049048515371
97,200,0.8,0.0004,0.0056363796,0.6103911428500041,0.13626540916865923
98,200,0.8,0.0006000000000000001,0.0056797727,0.6308706386768298,0.15601148767503742
99,200,0.8,0.0008,0.0056730257,0.6292606018023992,0.15453569532574313
100,200,0.8,0.001,0.005684855,0.6044142964004612,0.12929159335987606
101,210,0.4,0.0002,0.005656804,0.6542741062740591,0.17957917595643022
102,210,0.4,0.0004,0.0056316783,0.6705201746653693,0.19570873743914677
103,210,0.4,0.0006000000000000001,0.005646104,0.5676726991263636,0.09363867905627743
104,210,0.4,0.0008,0.00565808,0.625964699311376,0.1517298965486962
105,210,0.4,0.001,0.0056635756,0.6384718007708966,0.16413712336880887
106,210,0.5,0.0002,-0.004498071,0.53268296528432,0.0603949151423956
107,210,0.5,0.0004,0.005633889,0.6124919813200113,0.1384065902526716
108,210,0.5,0.0006000000000000001,0.0056779236,0.567402847308114,0.09350312927074926
109,210,0.5,0.0008,0.0055405237,0.5777240530498248,0.10367588493816708
110,210,0.5,0.001,0.005590862,0.6401274276518811,0.16524390931751337
111,210,0.6000000000000001,0.0002,0.005674003,0.6596085081452497,0.18443388907816077
112,210,0.6000000000000001,0.0004,0.0056135356,0.5839302903185544,0.11003251342368779
113,210,0.6000000000000001,0.0006000000000000001,0.005672828,0.6203980482871799,0.14591280426262201
114,210,0.6000000000000001,0.0008,0.005666024,0.5715479263143144,0.09805468221550379
115,210,0.6000000000000001,0.001,0.0056641335,0.4926703918620409,0.02091790500180059
116,210,0.7000000000000001,0.0002,0.0055721174,0.6154933236528951,0.14250335567189165
117,210,0.7000000000000001,0.0004,0.005595716,0.6279397686033017,0.15392499571746102
118,210,0.7000000000000001,0.0006000000000000001,0.0056772185,0.5129249470441255,0.040282545504741106
119,210,0.7000000000000001,0.0008,0.0056221606,0.4667192582877431,-0.0037722682566356793
120,210,0.7000000000000001,0.001,0.005616445,0.6864246468232547,0.21048663931282932
121,210,0.8,0.0002,0.0056007872,0.6318398071138022,0.15618200560330747
122,210,0.8,0.0004,0.0056368057,0.589674568697012,0.11538302044775894
123,210,0.8,0.0006000000000000001,0.005589546,0.6411055755199608,0.16629361326259165
124,210,0.8,0.0008,0.0055966843,0.632257364523303,0.1577568554158138
125,210,0.8,0.001,0.0056592347,0.6145498913962343,0.14034468393508973
126,220,0.4,0.0002,-0.0051741875,0.5550076707724725,0.08400403710522679
127,220,0.4,0.0004,0.0056182374,0.6089084865460548,0.13446905940580273
128,220,0.4,0.0006000000000000001,0.0056831036,0.5979528500496261,0.12357751145186555
129,220,0.4,0.0008,0.0056197364,0.6324513905748534,0.15868461820133478
130,220,0.4,0.001,0.005671233,0.6319585308321343,0.15770196112152787
131,220,0.5,0.0002,-0.0037383062,0.5785602243994689,0.1073129434548108
132,220,0.5,0.0004,0.005602984,0.6120405255255323,0.13785027162025199
133,220,0.5,0.0006000000000000001,0.0056233327,0.34909514517291074,-0.12331012748977013
134,220,0.5,0.0008,0.005683148,0.3397534658667157,-0.13268917311997971
135,220,0.5,0.001,0.005668227,0.5926758330086118,0.11797088000775556
136,220,0.6000000000000001,0.0002,-0.0015462032,0.5360954680148855,0.0645776084646189
137,220,0.6000000000000001,0.0004,0.0056199026,0.6027354621588236,0.1286749078224356
138,220,0.6000000000000001,0.0006000000000000001,0.005619941,0.6292210306103512,0.15450512285531032
139,220,0.6000000000000001,0.0008,0.005660323,0.5477780637455911,0.07477504789426716
140,220,0.6000000000000001,0.001,0.0056696283,0.6247255207534154,0.1526698851461437
141,220,0.7000000000000001,0.0002,0.0056376015,0.6759136471326432,0.20112775509540415
142,220,0.7000000000000001,0.0004,0.0056923535,0.6206399362383154,0.14605843732309925
143,220,0.7000000000000001,0.0006000000000000001,0.00566126,0.6574251146727759,0.18225673704648607
144,220,0.7000000000000001,0.0008,0.0056842985,0.6123278465110922,0.1378937069374022
145,220,0.7000000000000001,0.001,0.005674369,0.6438575326415603,0.16906853762873325
146,220,0.8,0.0002,0.0055880668,0.6597977390410071,0.18474579176013414
147,220,0.8,0.0004,0.0051462776,0.6830544739132443,0.207836940909951
148,220,0.8,0.0006000000000000001,0.0056653167,0.37662415256553416,-0.09583808454923104
149,220,0.8,0.0008,0.0056775603,0.6116744537382208,0.13767683828864508
150,220,0.8,0.001,0.005557786,0.6781636196514356,0.20280386006218903
